               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,           0.0094917,             0.00379,                   0,             0.99879,               0.975,             0.99451,             0.92194,           0.0095915,           0.0019087,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0093119,           0.0036812,                   0,             0.99896,               0.975,             0.99451,              0.9289,            0.009359,           0.0019017,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.009155,           0.0038946,                   0,             0.99948,               0.975,             0.99443,             0.92863,           0.0092347,           0.0018876,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0091972,           0.0039996,                   0,             0.99943,               0.975,             0.99467,             0.93058,           0.0094718,           0.0018421,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0093559,           0.0039187,                   0,                   1,             0.98266,             0.99452,             0.92743,           0.0093777,           0.0018993,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0092457,           0.0035997,                   0,             0.99913,               0.975,             0.99459,             0.92491,           0.0096093,           0.0018802,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0091839,           0.0037671,                   0,                   1,             0.98261,              0.9946,             0.92595,           0.0092179,           0.0017791,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0088466,           0.0036268,                   0,             0.99909,               0.975,             0.99451,             0.92787,           0.0093938,           0.0018299,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0089292,           0.0036474,                   0,             0.99911,               0.975,             0.99467,             0.93028,            0.009532,           0.0018865,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0088374,           0.0036488,                   0,             0.99908,               0.975,             0.99459,             0.93129,           0.0092765,           0.0018159,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0087375,           0.0037387,                   0,             0.99891,               0.975,             0.99459,             0.93007,           0.0095053,           0.0018422,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0088873,           0.0036452,                   0,             0.99899,               0.975,             0.99467,             0.93126,           0.0092233,           0.0018125,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0088211,           0.0036291,                   0,                   1,             0.98285,             0.99475,             0.93071,           0.0092364,           0.0018194,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0084556,           0.0036053,                   0,                   1,             0.98251,             0.99475,             0.92704,           0.0093083,           0.0018299,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0090921,           0.0035294,                   0,                   1,             0.98233,             0.99475,              0.9264,           0.0090725,           0.0017964,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0086385,           0.0035742,                   0,             0.99915,               0.975,             0.99459,             0.92881,           0.0092491,           0.0018275,                   0,            0.000298,            0.000298,            0.000298
